"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SAU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",4.74,
"SAU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",4.74,
"SAU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",4.74,
"SVN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",53.52,
"SVN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",53.52,
"SVN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",53.52,
"SVN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",53.53,
"SVN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",53.53,
"SVN","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",53.53,
"ZAF","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",7.77,
"ZAF","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",8.05,
"ZAF","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",8.09,
"ZAF","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",8.34,
"ZAF","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",8.39,
"ZAF","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",8.39,
"TJK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",22.14,
"TJK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",22.14,
"TJK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",22.14,
"TJK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",22.14,
"TJK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",22.14,
"TJK","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",22.14,
"TKM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",3.48,
"TKM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",3.48,
"TKM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",3.48,
"TKM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",3.48,
"TKM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",3.48,
"TKM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",3.48,
"UKR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",4.31,
"UKR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",4.31,
"UKR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",4.31,
"UKR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",4.31,
"UKR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",4.31,
"UKR","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",4.31,
"UZB","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",3.36,
"UZB","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",3.36,
"UZB","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",3.36,
"UZB","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",3.36,
"UZB","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",3.36,
"UZB","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",3.36,
"WLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",12.85,
"WLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",12.96,
"WLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",13.07,
"WLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.17,
"WLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.18,
"WLD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.18,
"G20","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",12.7,
"G20","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",12.82,
"G20","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",12.92,
"G20","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",13.06,
"G20","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",13.07,
"G20","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",13.07,
"EU28","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",25.5,
"EU28","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",25.59,
"EU28","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",25.71,
"EU28","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",25.89,
"EU28","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",25.89,
"EU28","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",25.89,
"OECD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",15.07,
"OECD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",15.26,
"OECD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",15.35,
"OECD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",15.53,
"OECD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",15.58,
"OECD","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",15.58,
"OECDE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",24.16,
"OECDE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",24.24,
"OECDE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",24.37,
"OECDE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",24.58,
"OECDE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",24.58,
"OECDE","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",24.58,
"EA19","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",25.18,
"EA19","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",25.29,
"EA19","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",25.44,
"EA19","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",25.69,
"EA19","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",25.69,
"EA19","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",25.69,
"DOM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",27.01,
"DOM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",27.02,
"DOM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",27.02,
"DOM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",27.02,
"DOM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",27.02,
"DOM","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",27.02,
"ECU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",18.97,
"ECU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",18.98,
"ECU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",21.4,
"ECU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",21.53,
"ECU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",21.64,
"ECU","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",21.64,
"PRY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",14.34,
"PRY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",14.35,
"PRY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",14.35,
"PRY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",14.35,
"PRY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",14.35,
"PRY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",14.35,
"URY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2015",3.48,
"URY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2016",3.48,
"URY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2017",3.48,
"URY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2018",3.48,
"URY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2019",3.62,
"URY","PROTECTEDAREA","TERREST","PC_LANDAREA","A","2020",3.62,
